PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Number,Level
3,生存,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S,1,women
8,死亡,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,1,children
9,生存,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S,1,women
11,生存,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,1,children
15,死亡,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S,1,women
17,死亡,3,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q,1,children
19,死亡,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,1,women
23,生存,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,1,women
24,生存,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,1,men
25,死亡,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,1,children
26,生存,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,1,women
28,死亡,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,1,men
31,死亡,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,1,men
35,死亡,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C,1,men
36,死亡,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,1,men
39,死亡,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,1,women
40,生存,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C,1,women
41,死亡,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S,1,women
45,生存,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q,1,women
50,死亡,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S,1,women
51,死亡,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,1,children
60,死亡,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S,1,children
63,死亡,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S,1,men
64,死亡,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,1,children
69,生存,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S,1,women
72,死亡,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,1,women
80,生存,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S,1,women
84,死亡,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,1,men
86,生存,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S,1,women
93,死亡,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S,1,men
98,生存,1,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C,1,men
101,死亡,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,1,women
103,死亡,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,1,men
107,生存,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,1,women
111,死亡,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,1,men
112,死亡,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,1,women
114,死亡,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S,1,women
115,死亡,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,1,women
119,死亡,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,1,men
120,死亡,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,1,children
133,死亡,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S,1,women
138,死亡,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,1,men
140,死亡,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,1,men
142,生存,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,1,women
143,生存,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S,1,women
148,死亡,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S,1,children
157,生存,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,1,women
165,死亡,3,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,1,children
166,生存,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S,1,children
168,死亡,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S,1,women
172,死亡,3,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q,1,children
173,生存,3,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,,S,1,children
183,死亡,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S,1,children
185,生存,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S,1,children
188,生存,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,,S,1,men
193,生存,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,,S,1,women
206,死亡,3,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S,1,children
209,生存,3,"Carr, Miss. Helen ""Ellen""",female,16,0,0,367231,7.75,,Q,1,women
210,生存,1,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,C,1,men
217,生存,3,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,,S,1,women
225,生存,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,S,1,men
234,生存,3,"Asplund, Miss. Lillian Gertrud",female,5,4,2,347077,31.3875,,S,1,children
246,死亡,1,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,Q,1,men
247,死亡,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,,S,1,women
249,生存,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,52.5542,D35,S,1,men
252,死亡,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,G6,S,1,women
255,死亡,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,,S,1,women
256,生存,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,,C,1,women
262,生存,3,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,347077,31.3875,,S,1,children
264,死亡,1,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S,1,men
274,死亡,1,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C,1,men
277,死亡,3,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,,S,1,women
279,死亡,3,"Rice, Master. Eric",male,7,4,1,382652,29.125,,Q,1,children
280,生存,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,C.A. 2673,20.25,,S,1,women
290,生存,3,"Connolly, Miss. Kate",female,22,0,0,370373,7.75,,Q,1,women
294,死亡,3,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,,S,1,women
